apple_id,PLANTID,usda_ploidy,het,ploidy
624,S42-08-08,NA,0.32220158447367425,2x
628,S47-21-84,NA,0.33494750009476515,2x
629,S47-25-51,NA,0.36049619044008946,2x
630,S47-25-05,NA,0.33869072438497405,2x
632,S47-25-48,NA,0.4502956673363405,3x
634,S47-12-67,NA,0.4501724726128653,3x
638,S23-04-570,NA,0.3605625260604223,2x
641,S23-03-20,NA,0.5177968992835753,3x
642,S23-02-626,NA,0.4162275880368447,2x
643,S29-13-73,NA,0.44413593116257916,3x
647,S47-23-82,NA,0.36965998256320837,2x
648,S29-05-38,NA,0.31233653007846557,2x
649,S23-14-46,NA,0.38359993935028996,2x
651,S23-03-749,NA,0.5478469352943406,3x
652,S47-23-49,NA,0.3386054357302604,2x
653,S47-25-82,NA,0.37793298207042947,2x
654,S12-31-18,NA,0.3371650051173193,2x
657,S47-23-52,NA,0.47410067851863086,3x
658,S29-08-17,NA,0.43519009893483945,3x
659,S23-04-05,NA,0.37726962586710133,2x
660,S29-13-105,NA,0.3334407338614912,2x
662,S16-06-72,NA,0.33624578294985025,2x
668,S31-04-41,NA,0.3689113377051666,2x
672,S38-03-25,NA,0.38790227815473255,2x
673,S38-04-01,NA,0.35660134187483417,2x
674,S42-40-09,NA,0.3296122209165687,2x
675,S19-23-52,NA,0.35477237405708656,2x
677,S38-03-28,NA,0.328133884234866,2x
678,S38-04-11,NA,0.34476517190402184,2x
679,S38-03-89,NA,0.35292445320495813,2x
680,S38-03-15,NA,0.3752321746711649,2x
681,S38-06-140,NA,0.3399416246541071,2x
682,S19-33-04,NA,0.3533508964785262,2x
685,S19-15-03,NA,0.4353606762442667,3x
686,S10-13-28,NA,0.38377999317690764,2x
687,S10-17-58,NA,0.3614627951935105,2x
688,S16-06-84,NA,0.36653273189037566,2x
690,S10-16-14,NA,0.3736969788863197,2x
695,Ottawa 533,NA,0.6796368598612638,3x
698,S19-17-31,NA,0.3332891095864448,2x
700,S16-15-106,NA,0.38235851559834727,2x
702,Holland,2x,0.3313843296311739,2x
703,Hardy Cumberland,NA,0.3514745460748266,2x
704,Joan,NA,0.35463970281642093,2x
705,King Harry,NA,0.3458454948637277,2x
706,King Cole,NA,0.37762973352033663,2x
707,Krapchatoe,NA,0.34796823471437777,2x
708,Jonathan,NA,0.37838785489556875,2x
709,Hibernal,NA,0.40640991622758804,2x
710,Heimenhofer,NA,0.39348394677987947,2x
711,Leyda,NA,0.35410901785375837,2x
